thisRow.t,notes,identity,ellipse_size,nose_pos,lefteye_pos,righteye_pos,mouth_pos,participant,
,,Mark,170.0x210.0,"-2.0,102.0","-42.0,139.0","33.0,144.0","-3.0,52.0",Qichen,
,,Helly,148.0x214.0,"-2.0,68.0","-35.0,113.0","24.0,119.0","-5.0,17.0",Qichen,
