identity,nose_x,nose_y,ellipse_w,ellipse_h,lefteye_x,lefteye_y,righteye_x,righteye_y,mouth_x,mouth_y
Mark,-2.0,102.0,170.0,210.0,-42.0,139.0,33.0,144.0,-3.0,52.0
Helly,-2.0,68.0,148.0,214.0,-35.0,113.0,24.0,119.0,-5.0,17.0
