identity,nose_x,nose_y,ellipse_w,ellipse_h,lefteye_x,lefteye_y,righteye_x,righteye_y,mouth_x,mouth_y
Mark,-28.0,150.0,158.0,220.0,-65.0,179.0,4.0,184.0,-29.0,101.0
Helly,-383.0,103.0,180.0,270.0,-428.0,136.0,-342.0,138.0,-387.0,49.0
