thisRow.t,notes,identity,ellipse_size,nose_pos,lefteye_pos,righteye_pos,mouth_pos,participant,
,,Mark,158.0x220.0,"-28.0,150.0","-65.0,179.0","4.0,184.0","-29.0,101.0",Kenta,
,,Helly,180.0x270.0,"-383.0,103.0","-428.0,136.0","-342.0,138.0","-387.0,49.0",Kenta,
