identity,nose_x,nose_y,ellipse_w,ellipse_h,lefteye_x,lefteye_y,righteye_x,righteye_y,mouth_x,mouth_y
Mark,0.0,-17.0,366.0,452.0,-77.0,62.0,61.0,54.0,1.0,-136.0
Helly,12.0,24.0,432.0,598.0,-62.0,121.0,108.0,123.0,-86.0,-131.0
