thisRow.t,notes,identity,ellipse_size,nose_pos,lefteye_pos,righteye_pos,mouth_pos,participant,
,,Mark,366.0x452.0,"0.0,-17.0","-77.0,62.0","61.0,54.0","1.0,-136.0",MingdaTest1,
,,Helly,432.0x598.0,"12.0,24.0","-62.0,121.0","108.0,123.0","-86.0,-131.0",MingdaTest1,
