identity,nose_x_px,nose_y_px,ellipse_w_px,ellipse_h_px,lefteye_x_px,lefteye_y_px,righteye_x_px,righteye_y_px,mouth_x_px,mouth_y_px,ellipse_w_cm,ellipse_h_cm,ellipse_w_deg,ellipse_h_deg
Mark,-2.0,102.0,170.0,210.0,-42.0,139.0,33.0,144.0,-3.0,52.0,4.704328961629755,5.8112298937779325,5.386792456375963,6.6516979831517515
Helly,-2.0,68.0,148.0,214.0,-35.0,113.0,24.0,119.0,-5.0,17.0,4.095533448948257,5.921919986992751,4.690514273421769,6.7781044246479265
