identity,nose_x_px,nose_y_px,ellipse_w_px,ellipse_h_px,lefteye_x_px,lefteye_y_px,righteye_x_px,righteye_y_px,mouth_x_px,mouth_y_px,ellipse_w_cm,ellipse_h_cm,ellipse_w_deg,ellipse_h_deg
Mark,0.0,-17.0,366.0,452.0,-77.0,62.0,61.0,54.0,1.0,-136.0,3.5641757664688782,4.401659689737523,4.082516441430582,5.040676770479311
Helly,12.0,24.0,432.0,598.0,-62.0,121.0,108.0,123.0,-86.0,-131.0,4.206895986651791,5.823434722263359,4.81790679823852,6.665636516486872
