identity,nose_x_px,nose_y_px,ellipse_w_px,ellipse_h_px,lefteye_x_px,lefteye_y_px,righteye_x_px,righteye_y_px,mouth_x_px,mouth_y_px,ellipse_w_cm,ellipse_h_cm,ellipse_w_deg,ellipse_h_deg
Mark,7.0,94.0,248.0,298.0,-42.0,131.0,50.0,134.0,5.0,18.0,2.415069918263065,2.901979175977393,2.7669284117704143,3.324490151929463
Helly,6.0,78.0,226.0,278.0,-45.0,134.0,53.0,135.0,4.0,7.0,2.200829844868761,2.707215472891662,2.5215581649778116,3.1014828707314823
