identity,nose_x_px,nose_y_px,ellipse_w_px,ellipse_h_px,lefteye_x_px,lefteye_y_px,righteye_x_px,righteye_y_px,mouth_x_px,mouth_y_px,ellipse_w_cm,ellipse_h_cm,ellipse_w_deg,ellipse_h_deg
Mark,-28.0,150.0,158.0,220.0,-65.0,179.0,4.0,184.0,-29.0,101.0,4.3722586819853015,6.087955126814977,5.007050412873917,6.9676830302668264
Helly,-383.0,103.0,180.0,270.0,-428.0,136.0,-342.0,138.0,-387.0,49.0,4.981054194666799,7.471581292000199,5.703154094526263,8.545922687551707
