identity,nose_x_px,nose_y_px,ellipse_w_px,ellipse_h_px,lefteye_x_px,lefteye_y_px,righteye_x_px,righteye_y_px,mouth_x_px,mouth_y_px,ellipse_w_cm,ellipse_h_cm,ellipse_w_deg,ellipse_h_deg
Mark,44.0,8.0,654.0,746.0,-63.0,145.0,191.0,138.0,52.0,-204.0,6.368773090903405,7.264686125097769,7.288233011805997,8.310118538987172
Helly,-432.0,87.0,208.0,248.0,-483.0,132.0,-383.0,119.0,-423.0,10.0,2.0255425120916026,2.4150699182630655,2.3207833859874665,2.7669284117704147
