identity,nose_x_px,nose_y_px,ellipse_w_px,ellipse_h_px,lefteye_x_px,lefteye_y_px,righteye_x_px,righteye_y_px,mouth_x_px,mouth_y_px,ellipse_w_cm,ellipse_h_cm,ellipse_w_deg,ellipse_h_deg
Mark,443.0,176.0,66.0,84.0,456.0,195.0,429.0,193.0,442.0,155.0,1.826386538044493,2.324491957511173,2.0926521473426427,2.663191978433442
Helly,-358.0,83.0,142.0,160.0,-330.0,120.0,-387.0,117.0,-360.0,45.0,3.9294983091260307,4.427603728592711,4.500557896681624,5.070348621521926
