identity,nose_x_px,nose_y_px,ellipse_w_px,ellipse_h_px,lefteye_x_px,lefteye_y_px,righteye_x_px,righteye_y_px,mouth_x_px,mouth_y_px,ellipse_w_cm,ellipse_h_cm,ellipse_w_deg,ellipse_h_deg
Mark,270.0,173.0,132.0,178.0,241.0,203.0,297.0,202.0,270.0,138.0,3.652773076088986,4.925709148059391,4.183909448458495,5.639888572595389
Helly,-483.0,77.0,158.0,186.0,-449.0,108.0,-519.0,111.0,-484.0,35.0,4.3722586819853015,5.147089334489026,5.007050412873917,5.892929630628456
