thisRow.t,notes,identity,ellipse_size,nose_pos,lefteye_pos,righteye_pos,mouth_pos,participant,
,,Mark,654.0x746.0,"44.0,8.0","-63.0,145.0","191.0,138.0","52.0,-204.0",Mingda2,
,,Helly,208.0x248.0,"-432.0,87.0","-483.0,132.0","-383.0,119.0","-423.0,10.0",Mingda2,
