identity,nose_x,nose_y,ellipse_w,ellipse_h,lefteye_x,lefteye_y,righteye_x,righteye_y,mouth_x,mouth_y
Mark,44.0,8.0,654.0,746.0,-63.0,145.0,191.0,138.0,52.0,-204.0
Helly,-432.0,87.0,208.0,248.0,-483.0,132.0,-383.0,119.0,-423.0,10.0
