identity,nose_x,nose_y,ellipse_w,ellipse_h,lefteye_x,lefteye_y,righteye_x,righteye_y,mouth_x,mouth_y
Mark,270.0,173.0,132.0,178.0,241.0,203.0,297.0,202.0,270.0,138.0
Helly,-483.0,77.0,158.0,186.0,-449.0,108.0,-519.0,111.0,-484.0,35.0
