thisRow.t,notes,identity,ellipse_size,nose_pos,lefteye_pos,righteye_pos,mouth_pos,participant,
,,Mark,132.0x178.0,"270.0,173.0","241.0,203.0","297.0,202.0","270.0,138.0",Ethan,
,,Helly,158.0x186.0,"-483.0,77.0","-449.0,108.0","-519.0,111.0","-484.0,35.0",Ethan,
