identity,nose_x,nose_y,ellipse_w,ellipse_h,lefteye_x,lefteye_y,righteye_x,righteye_y,mouth_x,mouth_y
Mark,443.0,176.0,66.0,84.0,456.0,195.0,429.0,193.0,442.0,155.0
Helly,-358.0,83.0,142.0,160.0,-330.0,120.0,-387.0,117.0,-360.0,45.0
