thisRow.t,notes,identity,ellipse_size,nose_pos,lefteye_pos,righteye_pos,mouth_pos,participant,
,,Mark,66.0x84.0,"443.0,176.0","456.0,195.0","429.0,193.0","442.0,155.0",Boran,
,,Helly,142.0x160.0,"-358.0,83.0","-330.0,120.0","-387.0,117.0","-360.0,45.0",Boran,
