identity,nose_x,nose_y,ellipse_w,ellipse_h,lefteye_x,lefteye_y,righteye_x,righteye_y,mouth_x,mouth_y
Mark,7.0,94.0,248.0,298.0,-42.0,131.0,50.0,134.0,5.0,18.0
Helly,6.0,78.0,226.0,278.0,-45.0,134.0,53.0,135.0,4.0,7.0
