thisRow.t,notes,identity,ellipse_size,nose_pos,lefteye_pos,righteye_pos,mouth_pos,participant,
,,Mark,248.0x298.0,"7.0,94.0","-42.0,131.0","50.0,134.0","5.0,18.0",David,
,,Helly,226.0x278.0,"6.0,78.0","-45.0,134.0","53.0,135.0","4.0,7.0",David,
